Spin_Speed_1	Duration_t1	Spin_Speed_2	Dispense_Speed	Duration_t3	Spin_Speed_3	Jsc	Voc	FF	Pmax	Vmpp	Rseries	Rshunt
1515	16	2676	269	6	3552	25.744	1.1467	0.7887	23.285	0.976	3639.373	3800
1165	23	2063	241	32	2863	25.791	1.1622	0.7916	23.729	0.9901	5369.497	5500
1913	13	2671	222	22	5000	25.335	1.0285	0.7429	19.358	0.842	2589.079	2540
1421	8	2021	279	25	3002	25.441	1.1046	0.7649	21.494	0.92	4540.764	4660
1840	5	2401	360	10	3825	25.85	1.0397	0.7647	20.553	0.863	3246.966	3070
1476	13	2036	242	25	5000	25.261	1.0881	0.7599	20.888	0.907	3508.15	3310
1096	20	2295	247	17	2231	25.638	1.1548	0.7812	23.128	0.975	3883.495	3970
925	22	2808	268	5	2000	25.874	1.1494	0.7752	23.055	0.962	4736.273	11.5
