Spin_Speed_1	Duration_t1	Spin_Speed_2	Dispense_Speed	Duration_t3	Spin_Speed_3	Jsc	Voc	FF	Pmax	Vmpp	Rseries	Rshunt
2358	19	2981	298	13	3658	24.857	1.1243	0.7888	22.046	0.959	3804.765	8.31
1490	19	2611	270	5	4888	24.51	1.084	0.7587	20.158	0.895	4557.486	4270
1790	20	2696	227	5	5000	23.6	1.112	0.7749	20.336	0.93	5697.84	8.89
1120	18	2238	273	31	3881	23.336	1.0387	0.7318	17.739	0.834	3716.562	3560
1509	18	2552	254	17	4265	24.658	1.1007	0.7607	20.647	0.909	5033.045	8.6
1317	18	2336	262	23	4092	24.566	1.0401	0.7475	19.101	0.851	92.129	108
1671	16	2613	271	17	3640	24.468	1.1097	0.7705	20.922	0.925	4239.369	4010
1596	19	2668	237	12	4999	24.306	1.088	0.749	19.808	0.895	3407.331	8.11
1428	15	2488	292	13	4281	23.984	1.032	0.7191	17.798	0.822	3407.914	7.22
1513	15	2388	198	18	4580	24.109	1.0785	0.7565	19.671	0.889	3254.705	3220
2134	20	2989	238	18	4014	24.934	1.121	0.76	21.242	0.933	4729.483	4340
1568	20	2755	238	17	4749	24.086	1.0857	0.72	18.827	0.883	4390.74	4060
1647	14	2413	293	25	4326	25.671	1.1022	0.7315	20.698	0.893	3115.902	3250
1403	18	2463	256	25	3426	24.424	1.0295	0.7029	17.674	0.804	3948.943	3750
1303	17	2400	246	17	4827	24.306	1.0286	0.7129	17.823	0.819	4597.167	4450
1677	19	2765	267	16	4181	24.573	1.0604	0.6839	17.82	0.807	5099.811	4780
1553	13	2396	273	16	3785	25.938	1.0426	0.7023	21.257	0.816	4550.155	4700
2579	21	3000	228	13	5000	25.413	1.0169	0.7461	19.282	0.824	6296.709	5790
